"id","post.test.score","pre.test.score","messages","forum.posts","av.assignment.score","level.up"
627,0.62,0.73,107,7,0.45,"yes"
628,0.65,0.59,100,15,0.32,"yes"
629,0.6,0.77,112,10,0.31,"yes"
630,0.66,0.46,99,16,0.25,"no"
631,0.56,0.68,101,13,0.23,"no"
632,0.69,0.57,115,28,0.24,"no"
633,0.69,0.57,113,3,0.43,"yes"
634,0.61,0.62,105,4,0.38,"yes"
635,0.57,0.61,85,11,0.29,"yes"
636,0.7,0.63,139,24,0.34,"yes"
637,0.66,0.59,130,5,0.33,"yes"
638,0.55,0.6,90,6,0.31,"yes"
639,0.49,0.51,95,2,0.16,"no"
640,0.71,0.57,111,6,0.29,"yes"
641,0.62,0.63,116,20,0.27,"yes"
642,0.68,0.62,112,9,0.35,"yes"
643,0.52,0.58,82,3,0.24,"no"
644,0.59,0.7,90,20,0.25,"no"
645,0.57,0.6,97,13,0.28,"yes"
646,0.47,0.67,93,18,0.2,"no"
647,0.57,0.52,107,24,0.3,"yes"
648,0.66,0.79,117,10,0.27,"yes"
649,0.6,0.69,103,13,0.43,"yes"
650,0.63,0.58,98,19,0.25,"no"
651,0.61,0.66,99,12,0.37,"yes"
652,0.56,0.61,89,3,0.26,"yes"
653,0.58,0.59,101,25,0.33,"yes"
654,0.58,0.6,89,16,0.31,"yes"
655,0.72,0.57,124,26,0.27,"yes"
656,0.41,0.66,81,17,0.27,"no"
657,0.78,0.48,117,4,0.5,"yes"
658,0.63,0.68,111,11,0.32,"yes"
659,0.66,0.62,129,25,0.22,"no"
660,0.67,0.59,113,11,0.29,"yes"
661,0.57,0.52,114,7,0.3,"yes"
662,0.56,0.67,91,3,0.18,"no"
663,0.66,0.57,131,6,0.43,"yes"
664,0.5,0.66,96,22,0.22,"no"
665,0.54,0.42,99,8,0.23,"no"
666,0.59,0.75,106,4,0.26,"yes"
667,0.6,0.63,118,7,0.31,"yes"
668,0.64,0.64,116,10,0.29,"yes"
669,0.52,0.64,90,20,0.22,"no"
670,0.65,0.69,122,16,0.28,"yes"
671,0.59,0.53,118,20,0.26,"yes"
672,0.64,0.67,115,21,0.27,"yes"
673,0.46,0.6,92,19,0.22,"no"
674,0.62,0.45,99,26,0.34,"yes"
675,0.69,0.62,130,6,0.37,"yes"
676,0.61,0.6,101,18,0.29,"yes"
677,0.55,0.68,102,23,0.2,"no"
678,0.62,0.58,95,25,0.32,"yes"
679,0.53,0.68,94,15,0.26,"yes"
680,0.48,0.54,89,17,0.25,"no"
681,0.47,0.63,83,21,0.34,"yes"
682,0.61,0.65,115,14,0.3,"yes"
683,0.6,0.57,119,17,0.3,"yes"
684,0.53,0.64,82,7,0.23,"no"
685,0.63,0.55,115,11,0.22,"no"
686,0.57,0.64,106,12,0.23,"no"
687,0.58,0.63,110,14,0.34,"yes"
688,0.6,0.5,105,11,0.31,"yes"
689,0.61,0.61,97,6,0.26,"yes"
690,0.62,0.64,106,13,0.27,"yes"
691,0.6,0.53,96,11,0.34,"yes"
692,0.68,0.63,109,24,0.52,"yes"
693,0.53,0.48,82,4,0.21,"no"
694,0.6,0.65,99,21,0.3,"yes"
695,0.61,0.66,103,11,0.25,"no"
696,0.57,0.7,90,3,0.28,"yes"
697,0.69,0.65,135,28,0.32,"yes"
698,0.57,0.72,110,4,0.33,"yes"
699,0.62,0.54,104,3,0.34,"yes"
700,0.55,0.53,94,18,0.23,"no"
701,0.43,0.63,69,5,0.32,"no"
702,0.58,0.64,87,23,0.32,"yes"
703,0.58,0.62,90,4,0.36,"yes"
704,0.63,0.71,95,14,0.26,"yes"
705,0.59,0.59,104,7,0.31,"yes"
706,0.6,0.52,114,14,0.33,"yes"
707,0.49,0.61,84,13,0.26,"yes"
708,0.56,0.48,102,4,0.27,"yes"
709,0.5,0.53,88,10,0.25,"no"
710,0.64,0.53,124,19,0.38,"yes"
711,0.61,0.68,107,22,0.25,"no"
712,0.49,0.42,85,3,0.3,"yes"
713,0.56,0.68,95,10,0.3,"yes"
714,0.7,0.63,113,29,0.31,"yes"
715,0.63,0.67,97,2,0.28,"yes"
716,0.54,0.59,96,7,0.3,"yes"
717,0.69,0.62,105,25,0.44,"yes"
718,0.66,0.53,101,22,0.29,"yes"
719,0.52,0.58,89,20,0.32,"yes"
720,0.57,0.64,90,18,0.22,"no"
721,0.61,0.66,101,15,0.27,"yes"
722,0.65,0.63,116,5,0.39,"yes"
723,0.62,0.44,97,18,0.31,"yes"
724,0.6,0.58,95,22,0.39,"yes"
725,0.63,0.6,107,3,0.35,"yes"
726,0.58,0.64,116,5,0.24,"no"
727,0.4,0.61,75,4,0.21,"no"
728,0.57,0.59,88,9,0.28,"yes"
729,0.49,0.61,75,6,0.21,"no"
730,0.74,0.64,130,7,0.35,"yes"
731,0.63,0.64,105,19,0.28,"yes"
732,0.67,0.57,107,25,0.33,"yes"
733,0.59,0.58,112,20,0.25,"no"
734,0.57,0.49,105,9,0.21,"no"
735,0.6,0.56,91,5,0.18,"no"
736,0.59,0.6,93,6,0.28,"yes"
737,0.58,0.56,100,6,0.36,"yes"
738,0.54,0.59,85,24,0.26,"yes"
739,0.57,0.62,114,13,0.2,"no"
740,0.64,0.52,113,10,0.3,"yes"
741,0.6,0.61,94,9,0.41,"yes"
742,0.63,0.68,96,13,0.21,"no"
743,0.65,0.63,127,27,0.34,"yes"
744,0.72,0.51,116,8,0.29,"yes"
745,0.62,0.56,104,17,0.43,"yes"
746,0.43,0.48,72,6,0.2,"no"
747,0.65,0.49,123,10,0.3,"yes"
748,0.39,0.49,71,2,0.17,"no"
749,0.68,0.63,114,5,0.41,"yes"
750,0.73,0.48,122,18,0.27,"yes"
751,0.59,0.56,90,4,0.28,"yes"
752,0.55,0.59,105,14,0.28,"yes"
753,0.55,0.69,107,20,0.3,"yes"
754,0.7,0.56,110,30,0.28,"yes"
755,0.73,0.57,115,9,0.38,"yes"
756,0.53,0.59,102,23,0.26,"yes"
757,0.65,0.69,102,23,0.43,"yes"
758,0.57,0.6,111,11,0.27,"yes"
759,0.64,0.61,100,15,0.4,"yes"
760,0.57,0.67,113,16,0.3,"yes"
761,0.44,0.49,77,4,0.19,"no"
762,0.58,0.46,108,11,0.26,"yes"
763,0.61,0.53,100,18,0.24,"no"
764,0.53,0.57,89,8,0.24,"no"
765,0.49,0.62,78,2,0.18,"no"
766,0.48,0.55,81,5,0.22,"no"
767,0.51,0.52,100,14,0.25,"no"
768,0.52,0.56,93,8,0.31,"yes"
769,0.47,0.57,83,13,0.28,"yes"
770,0.56,0.63,92,14,0.25,"no"
771,0.46,0.59,75,9,0.26,"yes"
772,0.66,0.65,104,22,0.3,"yes"
773,0.55,0.68,90,6,0.21,"no"
774,0.53,0.59,105,7,0.32,"yes"
775,0.57,0.61,89,16,0.26,"yes"
776,0.57,0.62,97,8,0.27,"yes"
777,0.65,0.6,112,3,0.29,"yes"
778,0.53,0.41,92,3,0.29,"yes"
779,0.69,0.57,105,27,0.3,"yes"
780,0.71,0.63,107,11,0.42,"yes"
781,0.71,0.66,116,21,0.25,"no"
782,0.49,0.65,75,8,0.2,"no"
783,0.62,0.72,117,4,0.2,"no"
784,0.55,0.48,92,22,0.29,"yes"
785,0.6,0.67,115,24,0.36,"yes"
786,0.59,0.55,100,3,0.39,"yes"
787,0.65,0.76,120,25,0.35,"yes"
788,0.74,0.59,117,6,0.42,"yes"
789,0.61,0.54,98,17,0.31,"yes"
790,0.54,0.57,87,4,0.09,"no"
791,0.63,0.66,100,18,0.37,"yes"
792,0.48,0.57,82,17,0.24,"no"
793,0.66,0.53,115,28,0.19,"no"
794,0.62,0.67,117,22,0.35,"yes"
795,0.52,0.57,102,18,0.22,"no"
796,0.62,0.64,98,8,0.34,"yes"
797,0.6,0.67,119,12,0.21,"no"
798,0.59,0.5,93,6,0.31,"yes"
799,0.66,0.71,102,2,0.41,"yes"
800,0.51,0.61,100,2,0.31,"yes"
801,0.51,0.8,86,9,0.21,"no"
802,0.49,0.55,92,19,0.29,"yes"
803,0.62,0.6,100,13,0.32,"yes"
804,0.67,0.68,107,16,0.38,"yes"
805,0.54,0.48,93,12,0.26,"yes"
806,0.59,0.58,92,24,0.35,"yes"
807,0.58,0.58,111,15,0.35,"yes"
808,0.52,0.64,90,15,0.32,"yes"
809,0.55,0.62,107,10,0.41,"yes"
810,0.64,0.55,99,17,0.32,"yes"
811,0.58,0.47,94,4,0.26,"yes"
812,0.65,0.52,105,27,0.36,"yes"
813,0.54,0.57,85,12,0.38,"yes"
814,0.59,0.66,103,10,0.32,"yes"
815,0.47,0.61,82,16,0.24,"no"
816,0.64,0.65,111,26,0.34,"yes"
817,0.66,0.61,132,13,0.24,"no"
818,0.61,0.66,99,14,0.23,"no"
819,0.7,0.6,106,24,0.4,"yes"
820,0.55,0.44,86,22,0.3,"yes"
821,0.68,0.66,134,4,0.41,"yes"
822,0.7,0.51,120,11,0.32,"yes"
823,0.55,0.67,106,15,0.29,"yes"
824,0.59,0.57,100,21,0.22,"no"
825,0.39,0.47,76,5,0.16,"no"
826,0.55,0.63,106,19,0.24,"no"
827,0.55,0.66,103,17,0.19,"no"
828,0.71,0.65,138,12,0.28,"yes"
829,0.57,0.6,104,4,0.29,"yes"
830,0.55,0.61,84,9,0.43,"yes"
831,0.62,0.63,93,13,0.41,"yes"
832,0.61,0.57,94,16,0.25,"no"
833,0.52,0.64,96,16,0.26,"yes"
834,0.6,0.52,115,19,0.25,"no"
835,0.55,0.59,94,15,0.38,"yes"
836,0.63,0.51,107,13,0.34,"yes"
837,0.62,0.66,94,6,0.25,"no"
838,0.66,0.66,130,16,0.29,"yes"
839,0.54,0.82,107,14,0.27,"yes"
840,0.69,0.57,137,12,0.26,"yes"
841,0.56,0.63,111,15,0.27,"yes"
842,0.52,0.61,86,23,0.27,"yes"
843,0.74,0.59,144,30,0.38,"yes"
844,0.63,0.63,110,20,0.31,"yes"
845,0.5,0.63,78,21,0.26,"yes"
846,0.64,0.49,111,27,0.34,"yes"
847,0.51,0.65,85,2,0.23,"no"
848,0.61,0.52,113,12,0.29,"yes"
849,0.59,0.62,113,17,0.3,"yes"
850,0.56,0.61,104,5,0.39,"yes"
851,0.61,0.61,92,18,0.3,"yes"
852,0.56,0.62,85,4,0.15,"no"
853,0.58,0.56,88,18,0.31,"yes"
854,0.7,0.61,130,13,0.34,"yes"
855,0.5,0.69,92,4,0.23,"no"
856,0.65,0.52,125,20,0.42,"yes"
857,0.59,0.49,105,8,0.21,"no"
858,0.58,0.53,114,14,0.34,"yes"
859,0.6,0.73,102,17,0.27,"yes"
860,0.66,0.51,108,5,0.29,"yes"
861,0.64,0.65,116,7,0.45,"yes"
862,0.57,0.65,89,3,0.31,"yes"
863,0.7,0.48,134,25,0.42,"yes"
864,0.69,0.5,110,27,0.32,"yes"
865,0.6,0.65,112,25,0.35,"yes"
866,0.62,0.45,114,18,0.24,"no"
867,0.59,0.6,97,11,0.28,"yes"
868,0.57,0.5,95,5,0.29,"yes"
869,0.6,0.61,118,5,0.31,"yes"
870,0.61,0.54,119,14,0.31,"yes"
871,0.61,0.58,109,23,0.29,"yes"
872,0.5,0.62,81,17,0.2,"no"
873,0.62,0.68,104,4,0.45,"yes"
874,0.56,0.47,104,15,0.34,"yes"
875,0.69,0.68,116,12,0.23,"no"
876,0.5,0.64,86,8,0.37,"yes"
877,0.59,0.62,104,16,0.34,"yes"
878,0.54,0.69,100,19,0.2,"no"
879,0.58,0.45,115,19,0.31,"yes"
880,0.58,0.68,107,25,0.26,"yes"
881,0.62,0.57,113,3,0.28,"yes"
882,0.58,0.54,103,24,0.2,"no"
883,0.49,0.53,91,17,0.25,"no"
884,0.64,0.65,108,13,0.29,"yes"
885,0.69,0.66,132,30,0.35,"yes"
886,0.6,0.47,111,13,0.18,"no"
887,0.64,0.52,124,19,0.34,"yes"
888,0.55,0.62,90,14,0.31,"yes"
889,0.64,0.53,99,4,0.29,"yes"
890,0.59,0.52,106,8,0.24,"no"
891,0.77,0.62,135,33,0.31,"yes"
892,0.54,0.65,85,9,0.27,"yes"
893,0.61,0.56,110,23,0.3,"yes"
894,0.52,0.72,81,16,0.26,"yes"
895,0.5,0.54,86,8,0.28,"yes"
896,0.57,0.65,103,13,0.2,"no"
897,0.64,0.61,118,17,0.27,"yes"
898,0.65,0.57,125,27,0.38,"yes"
899,0.56,0.67,107,8,0.32,"yes"
900,0.69,0.67,105,23,0.26,"yes"
901,0.61,0.7,117,22,0.4,"yes"
902,0.64,0.55,109,17,0.43,"yes"
903,0.67,0.68,130,13,0.3,"yes"
904,0.69,0.59,136,15,0.36,"yes"
905,0.61,0.57,113,23,0.31,"yes"
906,0.6,0.65,105,3,0.31,"yes"
907,0.59,0.56,100,17,0.25,"no"
908,0.45,0.61,72,9,0.24,"no"
909,0.64,0.65,115,5,0.39,"yes"
910,0.51,0.69,97,22,0.37,"yes"
911,0.61,0.71,109,6,0.39,"yes"
912,0.68,0.59,126,28,0.48,"yes"
913,0.54,0.78,88,13,0.23,"no"
914,0.59,0.57,94,15,0.25,"no"
915,0.68,0.67,129,20,0.43,"yes"
916,0.55,0.78,96,21,0.22,"no"
917,0.57,0.58,101,3,0.27,"yes"
918,0.61,0.73,104,25,0.33,"yes"
919,0.69,0.6,108,8,0.3,"yes"
920,0.51,0.59,81,19,0.27,"yes"
921,0.55,0.63,84,6,0.29,"yes"
922,0.63,0.62,123,25,0.3,"yes"
923,0.64,0.58,112,4,0.33,"yes"
924,0.56,0.59,110,24,0.28,"yes"
925,0.65,0.6,116,8,0.32,"yes"
926,0.65,0.61,125,16,0.37,"yes"
927,0.68,0.55,116,23,0.44,"yes"
928,0.66,0.5,109,5,0.3,"yes"
929,0.6,0.52,109,24,0.24,"no"
930,0.73,0.56,118,5,0.29,"yes"
931,0.55,0.63,83,14,0.21,"no"
932,0.62,0.57,104,22,0.31,"yes"
933,0.58,0.7,107,19,0.25,"no"
934,0.57,0.45,101,5,0.2,"no"
935,0.55,0.61,89,8,0.18,"no"
936,0.51,0.51,80,12,0.19,"no"
937,0.62,0.55,99,14,0.39,"yes"
938,0.58,0.61,96,14,0.34,"yes"
939,0.55,0.53,96,17,0.3,"yes"
940,0.52,0.57,102,20,0.34,"yes"
941,0.64,0.77,108,5,0.34,"yes"
942,0.61,0.72,115,14,0.29,"yes"
943,0.62,0.52,110,4,0.28,"yes"
944,0.61,0.62,114,25,0.2,"no"
945,0.6,0.55,98,9,0.28,"yes"
946,0.58,0.62,97,10,0.32,"yes"
947,0.63,0.42,115,26,0.34,"yes"
948,0.52,0.52,103,11,0.27,"yes"
949,0.54,0.76,101,13,0.27,"yes"
950,0.68,0.7,114,20,0.33,"yes"
951,0.63,0.64,104,13,0.36,"yes"
952,0.56,0.5,93,13,0.32,"yes"
953,0.56,0.57,101,17,0.25,"no"
954,0.63,0.58,114,27,0.31,"yes"
955,0.64,0.5,100,23,0.42,"yes"
956,0.6,0.58,108,18,0.29,"yes"
957,0.6,0.5,90,22,0.28,"yes"
958,0.66,0.57,102,2,0.45,"yes"
959,0.57,0.55,86,14,0.22,"no"
960,0.63,0.64,100,17,0.13,"no"
961,0.52,0.52,100,14,0.3,"yes"
962,0.57,0.67,110,5,0.28,"yes"
963,0.58,0.57,102,8,0.2,"no"
964,0.6,0.64,109,6,0.22,"no"
965,0.5,0.62,91,21,0.25,"no"
966,0.55,0.61,105,5,0.3,"yes"
967,0.56,0.64,109,10,0.23,"no"
968,0.71,0.63,131,22,0.43,"yes"
969,0.61,0.62,121,9,0.41,"yes"
970,0.5,0.5,85,12,0.28,"yes"
971,0.71,0.64,121,26,0.34,"yes"
972,0.67,0.7,113,15,0.45,"yes"
973,0.65,0.59,124,22,0.41,"yes"
974,0.52,0.65,92,6,0.21,"no"
975,0.61,0.66,96,8,0.34,"yes"
976,0.57,0.6,102,25,0.24,"no"
977,0.67,0.68,121,13,0.32,"yes"
978,0.53,0.62,99,2,0.2,"no"
979,0.51,0.57,90,17,0.31,"yes"
980,0.49,0.69,91,6,0.21,"no"
981,0.65,0.58,125,25,0.35,"yes"
982,0.5,0.67,84,8,0.19,"no"
983,0.59,0.41,101,4,0.14,"no"
984,0.6,0.69,96,17,0.36,"yes"
985,0.59,0.64,100,24,0.34,"yes"
986,0.63,0.64,106,6,0.38,"yes"
987,0.71,0.48,118,26,0.41,"yes"
988,0.69,0.57,135,7,0.37,"yes"
989,0.43,0.57,65,9,0.32,"no"
990,0.69,0.63,126,29,0.33,"yes"
991,0.57,0.7,103,20,0.22,"no"
992,0.61,0.61,95,11,0.32,"yes"
993,0.54,0.53,107,11,0.17,"no"
994,0.62,0.7,119,3,0.18,"no"
995,0.65,0.62,105,15,0.36,"yes"
996,0.55,0.62,91,18,0.22,"no"
997,0.64,0.62,125,24,0.31,"yes"
998,0.62,0.62,102,16,0.23,"no"
999,0.67,0.69,106,26,0.35,"yes"
1000,0.57,0.62,103,11,0.29,"yes"
